iter	Passed	Remaining
802	1218	298
803	1219	297
804	1221	295
805	1223	294
806	1224	292
807	1225	291
808	1227	289
809	1228	288
810	1229	286
811	1230	284
812	1231	283
813	1232	281
814	1233	280
815	1234	278
816	1237	277
817	1238	275
818	1239	274
819	1241	272
820	1242	270
821	1243	269
822	1244	267
823	1245	265
824	1246	264
825	1247	262
826	1248	261
827	1249	259
828	1253	258
829	1254	256
830	1255	255
831	1256	253
832	1258	252
833	1259	250
834	1260	249
835	1261	247
836	1262	245
837	1263	244
838	1264	242
839	1267	241
840	1268	239
841	1270	238
842	1271	236
843	1272	235
844	1273	233
845	1274	232
846	1275	230
847	1276	228
848	1277	227
849	1278	225
850	1281	224
851	1282	222
852	1283	221
853	1284	219
854	1285	218
855	1286	216
856	1287	214
857	1288	213
858	1289	211
859	1290	210
860	1291	208
861	1293	207
862	1294	205
863	1296	204
864	1297	202
865	1298	200
866	1299	199
867	1300	197
868	1301	196
869	1302	194
870	1303	193
871	1304	191
872	1306	189
873	1307	188
874	1308	186
875	1309	185
876	1311	183
877	1312	182
878	1313	180
879	1314	179
880	1315	177
881	1316	176
882	1317	174
883	1318	173
884	1319	171
885	1320	169
886	1321	168
887	1322	166
888	1323	165
889	1326	163
890	1327	162
891	1328	160
892	1329	159
893	1330	157
894	1331	156
895	1332	154
896	1333	153
897	1334	151
898	1335	150
899	1336	148
900	1337	147
901	1338	145
902	1341	144
903	1342	142
904	1343	141
905	1344	139
906	1345	137
907	1346	136
908	1347	134
909	1348	133
910	1349	131
911	1350	130
912	1352	128
913	1353	127
914	1354	125
915	1355	124
916	1356	122
917	1357	121
918	1358	119
919	1359	118
920	1360	116
921	1361	115
922	1362	113
923	1363	112
924	1364	110
925	1365	109
926	1366	107
927	1367	106
928	1369	104
929	1370	103
930	1371	101
931	1373	100
932	1374	98
933	1375	97
934	1376	95
935	1377	94
936	1378	92
937	1379	91
938	1380	89
939	1381	88
940	1384	86
941	1385	85
942	1386	83
943	1387	82
944	1388	80
945	1389	79
946	1390	77
947	1391	76
948	1392	74
949	1393	73
950	1394	71
951	1395	70
952	1396	68
953	1399	67
954	1400	65
955	1401	64
956	1402	63
957	1403	61
958	1404	60
959	1405	58
960	1406	57
961	1407	55
962	1408	54
963	1409	52
964	1410	51
965	1411	49
966	1414	48
967	1415	46
968	1416	45
969	1417	43
970	1418	42
971	1419	40
972	1420	39
973	1421	37
974	1422	36
975	1423	35
976	1424	33
977	1425	32
978	1426	30
979	1428	29
980	1430	27
981	1431	26
982	1432	24
983	1433	23
984	1434	21
985	1435	20
986	1436	18
987	1437	17
988	1438	16
989	1439	14
990	1440	13
991	1441	11
992	1444	10
993	1445	8
994	1446	7
995	1447	5
996	1448	4
997	1449	2
998	1450	1
999	1451	0
